index,path,name
318,_zhao1999250_BZLQqwoj3rjVM6kXpDGsWSSGfwN4UvOU,usb3.0拆分2.0+3.0
319,_100askteam_yuzuki_hcc,Yuzuki_HCC_HDMI_采集卡
320,_flyn_f510d17eff644b61bf8bef6b2d68bd59,恒温加热台
321,_lengyuefeng_9e97375c580746eaa90f2448f957101b,简易平板5.0寸800x480
322,_Sheepshellll_d31fc2bbbe6c47f293a4c3528e7be174,FolderShell便携折叠模块化键盘
323,_100askteam_project_mavericks,Yuzuki_Mavericks
324,_seahi_Ai_Thinker_VCli_xian_yu_yin_kong,Ai_Thinker_VC离线语音控制
325,_huangliguo_wu_shua_dian_ji_zai_guang_gao_xian_shi_zhong_di_ying_yong,_CW32_无刷电机在广告显示中的应用
326,_Weishui_Changan_756912df425d489ea9d7b7a650b0bcc8,RM2022超级电容工程_开源工程
327,_eedadada_fed36bbc19da4527b237982f9cd09f99,_Peak_T2.0_基于ESP32的2.0英寸触摸屏小终端
328,_xiaofengzi_uart_shao_xie_zhen,串口探针烧写器_带TR顺序调换开关
329,_zhangyadong300_d7509504d2f449749056d7750a9a0360,支持三种屏幕的_F1C200S开发板
330,_StarGazer4K_c3b0d3b6b4b74c2d96db23791ee79086,蓝牙指纹锁V1.1
331,_Alpha_go_OSC_panel,便携式示波器_显示模块
